in.ernet.dli.2015.287352,7577942,in.ernet.dli.2015.447771,7577942,Success
in.ernet.dli.2015.287354,9381409,in.ernet.dli.2015.447773,9381409,Success
in.ernet.dli.2015.381941,6461914,in.ernet.dli.2015.382264,6461914,Success
in.ernet.dli.2015.382196,89377000,in.ernet.dli.2015.382198,89377000,Success
dli.osmania.3245,14195488,dli.osmania.516,16042444,Fail
dli.osmania.3128,25788828,dli.osmania.3212,38912396,Fail
in.ernet.dli.2015.287353,8659631,in.ernet.dli.2015.447759,8659631,Success
dli.osmania.3309,11836884,dli.osmania.3310,14402616,Fail
in.ernet.dli.2015.381934,24516844,in.ernet.dli.2015.382247,24516844,Success
dli.osmania.3270,5851544,dli.osmania.3404,6838425,Fail
dli.osmania.3387,15085240,dli.osmania.4008,17747511,Fail
dli.osmania.5121,4600736,dli.osmania.5178,4692438,Fail
dli.osmania.4061,10931557,dli.osmania.4097,8522137,Fail
in.ernet.dli.2015.381952,13476338,in.ernet.dli.2015.382095,13476338,in.ernet.dli.2015.382295,13476338,Success
in.ernet.dli.2015.363688,14947187,in.ernet.dli.2015.382037,14947187,Success
in.ernet.dli.2015.381937,3351635,in.ernet.dli.2015.382253,3351635,Success
in.ernet.dli.2015.287307,24322898,in.ernet.dli.2015.447705,24322898,Success
dli.osmania.3460,11848329,dli.osmania.3576,9486713,Fail
dli.osmania.3924,18739867,dli.osmania.4135,14377433,Fail
in.ernet.dli.2015.381939,1191263,in.ernet.dli.2015.382260,1191263,Success
in.ernet.dli.2015.287308,10537444,in.ernet.dli.2015.447706,10537444,Success
in.ernet.dli.2015.381928,11406708,in.ernet.dli.2015.382300,11406708,Success
in.ernet.dli.2015.382206,9009721,in.ernet.dli.2015.382302,9009721,Success
in.ernet.dli.2015.382015,33584648,in.ernet.dli.2015.382039,46328308,in.ernet.dli.2015.382195,46328308,in.ernet.dli.2015.382301,46328308,Fail
dli.osmania.3765,25974685,dli.osmania.4160,24212932,Fail
dli.osmania.3772,7129663,dli.osmania.3928,9133383,Fail
in.ernet.dli.2015.381953,19441411,in.ernet.dli.2015.382106,19441411,in.ernet.dli.2015.382299,19441411,Success
in.ernet.dli.2015.381948,7646985,in.ernet.dli.2015.382051,7646985,Success
in.ernet.dli.2015.381947,14140129,in.ernet.dli.2015.382040,14140129,Success
dli.osmania.3277,17153531,dli.osmania.538,14204652,Fail
in.ernet.dli.2015.382055,15462111,in.ernet.dli.2015.382242,15751289,Fail
in.ernet.dli.2015.381932,31359304,in.ernet.dli.2015.382244,31359304,Success
dli.osmania.3262,5270484,dli.osmania.3624,3068700,Fail
